ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
0,"< $10,000",2018,2018,7598669,46912,United States,01000US,united-states,0.0625301
1,"$10,000-$14,999",2018,2018,5267344,40230,United States,01000US,united-states,0.043345426
2,"$15,000-$19,999",2018,2018,5241202,35766,United States,01000US,united-states,0.043130301
3,"$20,000-$24,999",2018,2018,5695642,42544,United States,01000US,united-states,0.046869927
4,"$25,000-$29,999",2018,2018,5222981,35428,United States,01000US,united-states,0.042980359
5,"$30,000-$34,999",2018,2018,5563253,41130,United States,01000US,united-states,0.045780487
6,"$35,000-$39,999",2018,2018,5151740,37565,United States,01000US,united-states,0.042394111
7,"$40,000-$44,999",2018,2018,5176218,33265,United States,01000US,united-states,0.042595543
8,"$45,000-$49,999",2018,2018,4701684,37127,United States,01000US,united-states,0.038690562
9,"$50,000-$59,999",2018,2018,9059982,48107,United States,01000US,united-states,0.07455537
10,"$60,000-$74,999",2018,2018,12037965,51619,United States,01000US,united-states,0.099061448
11,"$75,000-$99,999",2018,2018,15254871,64508,United States,01000US,united-states,0.125533644
12,"$100,000-$124,999",2018,2018,11130018,56888,United States,01000US,united-states,0.091589874
13,"$125,000-$149,999",2018,2018,7104900,42113,United States,01000US,united-states,0.058466832
14,"$150,000-$199,999",2018,2018,8033342,47072,United States,01000US,united-states,0.066107061
15,"$200,000+",2018,2018,9280369,45589,United States,01000US,united-states,0.076368954
0,"< $10,000",2018,2018,66739,4694,"Houston, TX",16000US4835000,houston-tx,0.078599231
1,"$10,000-$14,999",2018,2018,43031,3864,"Houston, TX",16000US4835000,houston-tx,0.050678067
2,"$15,000-$19,999",2018,2018,44534,4406,"Houston, TX",16000US4835000,houston-tx,0.052448166
3,"$20,000-$24,999",2018,2018,51596,4358,"Houston, TX",16000US4835000,houston-tx,0.060765159
4,"$25,000-$29,999",2018,2018,46170,4080,"Houston, TX",16000US4835000,houston-tx,0.054374901
5,"$30,000-$34,999",2018,2018,45547,4401,"Houston, TX",16000US4835000,houston-tx,0.053641187
6,"$35,000-$39,999",2018,2018,42421,3691,"Houston, TX",16000US4835000,houston-tx,0.049959663
7,"$40,000-$44,999",2018,2018,38382,3472,"Houston, TX",16000US4835000,houston-tx,0.04520289
8,"$45,000-$49,999",2018,2018,35598,3392,"Houston, TX",16000US4835000,houston-tx,0.041924144
9,"$50,000-$59,999",2018,2018,62372,4300,"Houston, TX",16000US4835000,houston-tx,0.073456169
10,"$60,000-$74,999",2018,2018,78988,4360,"Houston, TX",16000US4835000,houston-tx,0.093025009
11,"$75,000-$99,999",2018,2018,90085,5376,"Houston, TX",16000US4835000,houston-tx,0.106094064
12,"$100,000-$124,999",2018,2018,57758,4212,"Houston, TX",16000US4835000,houston-tx,0.068022212
13,"$125,000-$149,999",2018,2018,37169,2794,"Houston, TX",16000US4835000,houston-tx,0.043774327
14,"$150,000-$199,999",2018,2018,41448,3754,"Houston, TX",16000US4835000,houston-tx,0.048813751
15,"$200,000+",2018,2018,67267,3396,"Houston, TX",16000US4835000,houston-tx,0.079221062
0,"< $10,000",2017,2017,7796632,43579,United States,01000US,united-states,0.064937939
1,"$10,000-$14,999",2017,2017,5422566,37502,United States,01000US,united-states,0.045164407
2,"$15,000-$19,999",2017,2017,5380478,37908,United States,01000US,united-states,0.044813857
3,"$20,000-$24,999",2017,2017,5800084,39652,United States,01000US,united-states,0.048308745
4,"$25,000-$29,999",2017,2017,5302228,40250,United States,01000US,united-states,0.044162115
5,"$30,000-$34,999",2017,2017,5625903,36130,United States,01000US,united-states,0.046857996
6,"$35,000-$39,999",2017,2017,5206457,37923,United States,01000US,united-states,0.043364441
7,"$40,000-$44,999",2017,2017,5292283,43085,United States,01000US,united-states,0.044079284
8,"$45,000-$49,999",2017,2017,4704433,34498,United States,01000US,united-states,0.039183097
9,"$50,000-$59,999",2017,2017,9143153,49980,United States,01000US,united-states,0.076153077
10,"$60,000-$74,999",2017,2017,11984757,55936,United States,01000US,united-states,0.099820721
11,"$75,000-$99,999",2017,2017,15031143,72691,United States,01000US,united-states,0.125193988
12,"$100,000-$124,999",2017,2017,10764870,53287,United States,01000US,united-states,0.089660314
