ZIP,LAT,LONG,Houston Section,Medium Household Income,,,,,
77010,29.753624,-95.35981,Downtown,199641.3333,,,,,
77005,29.718435,-95.423555,West University,166776.875,,,,,
77094,29.769285,-95.681292,Eldridge,161053.625,,,,,
77401,29.71,-95.47,Bellaire,159097.75,,,,,
77059,29.613602,-95.11937,Clear Lake,132034.25,,,,,
77345,30.06,-95.16,Kingwood,124887.375,,,,,
77024,29.772179,-95.514203,Bunker Hill/Piney Point,113020.375,,,,,
77007,29.771545,-95.411083,Memorial,106105.625,,,,,
77389,30.13,-95.49,Spring1,105624.75,,,,,
77429,29.98,-95.66,Cypress1,100197.875,,,,,
77379,30.04,-95.53,Spring2,99889.75,,,,,
77450,29.745247,-95.741783,Katy,99704.125,,,,,
77019,29.75415,-95.409498,River Oak,98906.1,,,,,
77079,29.776093,-95.603037,Memorial Park,97951.75,,,,,
77433,29.96,-95.74,Cypress2,97139.875,,,,,
77056,29.748202,-95.468948,Uptown,96707.25,,,,,
77377,30.06,-95.68,Tomball,94272.625,,,,,
77346,29.98,-95.18,Humble,91546.25,,,,,
77096,29.67,-95.48,Copperfield,90396.375,,,,,
77586,29.583816,-95.036166,Seabrook,88314,,,,,
,,,,,,,,,
