FID,OBJECTID,PERIMETER,POLYID,SNBNAME,population,Income,cohgisCOHG,cohgisCO_1,COUNCIL_AC,RECOGNITIO,SnbrInfoUR,WeCan,Top10,Shape__Area,Shape__Length
33,35,87815.58,6,ACRES HOME,25828,39269,0,0,Yes,2000-05-11T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_6.htm,Y,Y,30965399.61,30922.63134
88,48,145251.999,9,ADDICKS PARK TEN,19683,80584,0,0, , ,http://www.houstontx.gov/superneighborhoods/profiles/SN_9.htm, , ,80912762.59,51048.74644
83,86,63736.5,23,AFTON OAKS / RIVER OAKS AREA,14518,95682,0,0,No,2001-10-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_23.htm, , ,12452213.47,22419.0082
53,56,94862.716,25,ALIEF,106657,41833,0,0,Yes,2000-06-22T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_25.htm,Y, ,48692933.55,33341.56369
61,64,49215.228,34,ASTRODOME AREA,18223,46284,0,0, , ,http://www.houstontx.gov/superneighborhoods/profiles/SN_34.htm,Y,Y,10946109.22,17299.84425
58,61,47833.624,30,BRAEBURN,18843,42958,0,0,Yes,2008-05-13T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_30.htm, , ,8389106.164,16806.89991
79,82,40086.762,32,BRAESWOOD,21835,93748,0,0, , ,http://www.houstontx.gov/superneighborhoods/profiles/SN_32.htm, , ,10752133.07,14091.3209
50,53,77540.802,36,BRAYS OAKS,64548,42414,0,0,Yes,2000-08-24T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_36.htm, , ,27129769.89,27240.44643
84,87,63745.3,18,BRIAR FOREST,43018,76462,0,0,Yes,2009-08-11T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_18.htm, , ,23195551.71,22403.91723
30,32,56176.32,3,CARVERDALE,3903,68107,0,0,No,2003-09-22T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_3.htm,Y, ,10414616.92,19789.638
28,30,83851.206,12,CENTRAL NORTHWEST,41993,62750,0,0,Yes,2010-10-12T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_12.htm, , ,29851706.31,29496.37009
51,54,117635.91,40,CENTRAL SOUTHWEST,66918,47057,0,0,Yes,2000-05-11T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_40.htm, , ,81730940.43,41308.17694
55,58,156942.093,81,CLEAR LAKE,620268,84710,0,0,Yes,2010-07-27T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_81.htm, , ,83065716.5,55108.7727
4,4,59784.698,59,CLINTON PARK TRI-COMMUNITY,3140,31826,0,0,Yes,2000-11-20T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_59.htm,Y, ,9469459.297,21037.81681
12,13,80879.515,56,DENVER HARBOR / PORT HOUSTON,17571,29273,0,0,No,2001-06-05T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_56.htm,Y, ,22048673.08,28469.51597
3,3,39256.388,61,DOWNTOWN,12088,71666,0,0, , ,http://www.houstontx.gov/superneighborhoods/profiles/SN_61.htm, , ,9340699.352,13810.97489
32,34,81176.06,49,EAST HOUSTON,18580,31826,0,0,Yes,2000-08-24T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_49.htm,Y, ,36887552.33,28580.09165
36,38,83347.43,47,EAST LITTLE YORK / HOMESTEAD,19607,36003,0,0,Yes, ,http://www.houstontx.gov/superneighborhoods/profiles/SN_47.htm, , ,23870520.25,29358.75022
31,33,71061.565,46,EASTEX - JENSEN AREA,25724,32923,0,0,No,2001-10-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_46.htm,Y,Y,26558098.69,25036.76395
81,84,38704.285,79,EDGEBROOK AREA,23584,45982,0,0, , ,http://www.houstontx.gov/superneighborhoods/profiles/SN_79.htm, , ,10326080.87,13591.0167
22,24,57859.757,53,EL DORADO / OATES PRAIRIE,3852,39216,0,0, , ,http://www.houstontx.gov/superneighborhoods/profiles/SN_53.htm, , ,15537299.89,20338.98201
