Location,Indicator Rate Value,Indicator Rate Value Units,Rate Lower Confidence Interval,Rate Upper Confidence Interval,Period of Measure
77002,67043,dollars,59927,74159,2014-2018
77002,72306,dollars,65002,79610,2013-2017
77002,68229,dollars,58198,78260,2012-2016
77002,62089,dollars,51992,72186,2011-2015
77002,71319,dollars,57900,84738,2010-2014
77002,64093,dollars,52011,76175,2009-2013
77002,57165,dollars,45985,68345,2008-2012
77002,66776,dollars,55707,77845,2007-2011
77003,64006,dollars,56392,71620,2014-2018
77003,59575,dollars,49279,69871,2013-2017
77003,46267,dollars,39137,53397,2012-2016
77003,39039,dollars,33053,45025,2011-2015
77003,40647,dollars,32485,48809,2010-2014
77003,36412,dollars,27445,45379,2009-2013
77003,37664,dollars,30249,45079,2008-2012
77003,35258,dollars,28181,42335,2007-2011
77004,50485,dollars,46397,54573,2014-2018
77004,48592,dollars,42841,54343,2013-2017
77004,50681,dollars,46142,55220,2012-2016
77004,47523,dollars,42771,52275,2011-2015
77004,46059,dollars,40619,51499,2010-2014
77004,41983,dollars,38750,45216,2009-2013
77004,39804,dollars,34303,45305,2008-2012
77004,34079,dollars,30094,38064,2007-2011
77005,189500,dollars,176983,202017,2014-2018
77005,180758,dollars,164630,196886,2013-2017
77005,174153,dollars,156601,191705,2012-2016
77005,166203,dollars,148976,183430,2011-2015
77005,163802,dollars,147675,179929,2010-2014
77005,159732,dollars,148263,171201,2009-2013
77005,153041,dollars,142019,164063,2008-2012
77005,147026,dollars,134024,160028,2007-2011
77006,85000,dollars,75731,94269,2014-2018
77006,82878,dollars,76211,89545,2013-2017
77006,80908,dollars,72925,88891,2012-2016
77006,71158,dollars,61215,81101,2011-2015
77006,69508,dollars,64718,74298,2010-2014
77006,67458,dollars,62996,71920,2009-2013
77006,63360,dollars,61227,65493,2008-2012
77006,62821,dollars,59195,66447,2007-2011
77007,124355,dollars,117404,131306,2014-2018
77007,121458,dollars,113075,129841,2013-2017
77007,113361,dollars,106146,120576,2012-2016
77007,107580,dollars,102471,112689,2011-2015
77007,106044,dollars,100311,111777,2010-2014
77007,98725,dollars,92299,105151,2009-2013
77007,90860,dollars,85688,96032,2008-2012
77007,86462,dollars,82016,90908,2007-2011
77008,104167,dollars,98905,109429,2014-2018
77008,97690,dollars,89636,105744,2013-2017
77008,88248,dollars,80368,96128,2012-2016
77008,82058,dollars,76238,87878,2011-2015
77008,77512,dollars,69360,85664,2010-2014
77008,70293,dollars,64510,76076,2009-2013
77008,65457,dollars,59951,70963,2008-2012
77008,65306,dollars,61559,69053,2007-2011
77009,53116,dollars,49882,56350,2014-2018
77009,49383,dollars,45630,53136,2013-2017
77009,47011,dollars,43438,50584,2012-2016
77009,43830,dollars,39560,48100,2011-2015
77009,45016,dollars,40796,49236,2010-2014
77009,44651,dollars,41204,48098,2009-2013
77009,42944,dollars,38790,47098,2008-2012
77009,41699,dollars,38689,44709,2007-2011
77010,240417,dollars,159435,321399,2014-2018
77010,209063,dollars,95627,322499,2010-2014
77010,149444,dollars,15572,283316,2008-2012
77011,30682,dollars,28679,32685,2014-2018
77011,30665,dollars,27954,33376,2013-2017
77011,29544,dollars,26148,32940,2012-2016
77011,26922,dollars,24781,29063,2011-2015
77011,26953,dollars,24068,29838,2010-2014
77011,26838,dollars,24346,29330,2009-2013
77011,27458,dollars,24815,30101,2008-2012
77011,26786,dollars,24851,28721,2007-2011
77012,36532,dollars,32863,40201,2014-2018
77012,36537,dollars,34048,39026,2013-2017
77012,34617,dollars,32098,37136,2012-2016
77012,34891,dollars,32351,37431,2011-2015
77012,35884,dollars,33723,38045,2010-2014
77012,34975,dollars,32789,37161,2009-2013
77012,33035,dollars,30769,35301,2008-2012
77012,33834,dollars,31153,36515,2007-2011
77013,39766,dollars,37191,42341,2014-2018
77013,39513,dollars,35766,43260,2013-2017
77013,37987,dollars,35380,40594,2012-2016
77013,38807,dollars,35858,41756,2011-2015
77013,38519,dollars,35564,41474,2010-2014
77013,36829,dollars,33406,40252,2009-2013
77013,39701,dollars,34837,44565,2008-2012
77013,41091,dollars,38490,43692,2007-2011
77014,48790,dollars,43254,54326,2014-2018
77014,45596,dollars,40949,50243,2013-2017
77014,43207,dollars,38899,47515,2012-2016
